6508283,ReTraY,4521656
4454123,Sonar,3507652
26618473,Promises,3187364
11280109,Dark Paradise,3069266
11630859,ThE WorLd,1381964
2867632,lucid dream,1365470
21923305,Ocean Of Dreams,1098831
23356701,Warmth,1034024
11945914,SUNSET,962866
1729,DARKNESS,884574
13935609,a spark of life,837582
2546328,Flappy Jumper 2,782825
2443491,xDARKx,778718
14074637,feather,764303
10970301,Bright Eclipse,708210
12194579,For Science,641082
26561853,When The Leaves Fall,640159
977287,Stageix,614428
3325797,Findexis Madness 2,591227
9787477,Gawne Forever,564121
14485066,Paint on Track,540424
70196,Practice Level,539984
11941828,Practice domination,510846
3945967,Moving Obstacles,497291
12640275,Dream of Night,471024
14206606,Paint Madness,468483
14375455,Colory,454957
1842894,Flight Of Space 1,437931
32400752,IZnite,435313
13241784,dorabae-quiz,435089
1239645,Invisible on track,412731
13226698,Whirlwind,409452
16754209,Geometry Dance,394725
2816038,Stereo Madness 2,378790
7894312,PeAsY WoRlD II,372023
14325059,Universe,366693
13935221,Gravity Falls,365092
6458589,If Cataclysm was L1,346492
14116476,Never Be Alone,346327
12638235,Serene time,332516
14307902,Whipped Cream,332502
13318490,Adrift,322709
11686946,Never Be Alone,309575
3049084,pur1ty ,298129
12993248,Super Mario Galaxy,297973
15650565,Sacred Crescent,285043
6392228,flappy crystal,283458
13455501,AlterGame,281857
13113862,Blossoms,278342
12725323,Aurora,273718
52128,1,263654
2410286,ECOnomix,256016
13296070,StarLight,252670
7828357,Traum,249860
14015303,DragonS,249652
18628381,The Calling  ,248580
17806788,Fantasy,237780
14256752,iEuPhoriai,237117
34749502,Candescent,236938
15091600,SuPernoVa,234688
8663057,Hyper Dream,231046
26758645,lonely,229333
5226832,Divine Airflow,221538
1757461,IF Clubstep was Lv1,218625
17250385,Xenogenesis,218246
8242166,Mario bros,217259
6956751,flappy emerald,215830
34224737,Wishless,213496
13506658,Lullaby,212944
8795831,Flappy bird,212089
274283,Demons,209011
33541887,Flore,202993
17496044,AlterGame IV,202052
13059832,Luminous,198118
23454590,Sadness,193643
14152721,rEd OrIgIn,191431
5356370,Glow Surface,190367
6709812,Flappy Rubins,186555
14250437,Determination,186431
33178604,Flickering,184211
18257585,Airflow,183398
18974476,Hill Climb Racing,178418
16724793,Never be alone,178128
15778799,OccasuS,176228
9227947,Minecraft Life,172720
6767410,Sapphire,169830
27091198,Beautiful Now,168164
25325495,Exploration,165572
35844907,Tic Tac Toe,164099
28601858,Cosmos,163154
22054803,Airwaves,162572
32287561,Dreams,161118
13626540,ambience,160174
16294328,Ghostbusters III,157837
17649626,Hepatica,154132
14048440,iIiBlushiIi,151488
8101206,TopaZ,151469
7321011,Flappy Sapphire,148433
27553978,Forever,147975
20694170,100 Millionth Level,147570
34413161,Nevermind,146827
4193687,If TOE2 was level 1,146053
33932022,Amnesty,144843
33855024,Soothe,140554
